region,sex ,ageclass ,num_Bpro
Central,F ,A,3
North,M ,A,2
North,F ,YA ,2
Central,F ,A,2
North,M ,A,0
Central,M ,A,0
Central,M ,A,0
Central,M ,A,0
Central,M ,A,0
South,F ,A,54
South,M,A,2
South,F ,YA ,1
North,M ,A,0
North,F ,A,0
North,F ,YA ,0
North,F ,YA ,0
North,M ,YA ,0
North,M ,YA ,0
North,M ,YA ,0
North,F ,YA ,0
North,F ,YA ,0
North,F ,YA ,11
North,M ,YA ,1
North,M ,A,0
North,M ,A,0
South,F ,YA ,46
South,M,A,19
South,M,YA ,2
Central,M,A,3
Central,M,A,0
Central,F ,A,51
Central,M ,A,26
Central,F ,A,14
Central,M ,A,4
Central,F ,YA ,4
Central,M ,A,3
South,M ,A,1
South,M ,A,2
South,F ,A,2
South,M ,A,1
South,F ,A,1
South,M ,YA ,0
South,M ,A,0
South,M ,YA ,0
South,M ,A,0
South,M ,A,6
South,M ,A,0
South,M ,YA ,0
South,M ,YA ,0
North,F ,A,3
North,M ,A,2
North,F ,YA ,1
North,F ,A,1
North,M ,A,1
North,M ,A,0
North,M ,A,0
North,M ,A,0
